Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable
M.,Ali,Al-Khalil,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Amaya,Gomez,PA68388,DELL,10-08-99,504643002,754169972
Mme,Zahra,Andersen,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Amaya,Gomez,PA68414,DELL,08-22-01,565675635,690181131
M.,Hedi,Azzouz,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Amaya,Gomez,PA68411,DELL,10-19-82,580541143,734964449
M.,Yassine,Ben Salah,EcoTechSolutions,Bordeaux,Communication,,Responsable communication,Wassim,Ibrahimovic,PA68394,DELL,03-12-93,536800870,619768244
M.,Tahar,Ben Youssef,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Amaya,Gomez,PA68386,DELL,07-25-94,503446393,775310960
Mme,Indira,Benzema,EcoTechSolutions,Bordeaux,Communication,Communication externe,Attaché de presse,Yassine,Ben Salah,PA68402,DELL,10-24-98,518483082,716843840
M.,Tayeb,Boucenna,EcoTechSolutions,Bordeaux,Communication,Communication externe,Chargé de communication,Yassine,Ben Salah,PA68409,DELL,12-04-97,530790436,713430879
M.,Amir,Boussaid,EcoTechSolutions,Bordeaux,Communication,Communication externe,Attaché de presse,Yassine,Ben Salah,PA68403,DELL,09-01-86,502733363,617097066
M.,Yassir,Chettouh,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Amaya,Gomez,PA68413,DELL,11-22-21,530881211,718630944
Mme,Elisa,Costa,EcoTechSolutions,Bordeaux,Communication,Communication externe,Chargé de communication,Yassine,Ben Salah,PA68406,DELL,01-02-99,557284079,756367380
Mme,Lucie,Da Silva,EcoTechSolutions,Bordeaux,Communication,Communication externe,Attaché de presse,Yassine,Ben Salah,PA68404,DELL,02-24-82,565888769,642725379
Mme,Nina,Dobrev,EcoTechSolutions,Bordeaux,Communication,Événementiel,Chef de projet événement,Amaya,Gomez,PA68393,DELL,09-10-02,500483037,717402561
Mme,Cleo,Dupont,EcoTechSolutions,Bordeaux,Communication,Communication interne,Community manager,Yassine,Ben Salah,PA19149,DELL,05-14-89,556789012,736672209
M.,Brahim,El-Mahdi,EcoTechSolutions,Bordeaux,Communication,Communication externe,Chargé de communication,Yassine,Ben Salah,PA68407,DELL,08-10-86,564793027,604939773
M.,Rami,Farouk,EcoTechSolutions,Bordeaux,Communication,Événementiel,Chef de projet événement,Amaya,Gomez,PA68392,DELL,10-26-01,553708065,796090098
Mme,Isidora,Fontaine,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Amaya,Gomez,PA68412,DELL,08-10-98,582677934,709554542
M.,Boris,Garcia,EcoTechSolutions,Bordeaux,Communication,Communication interne,Community manager,Yassine,Ben Salah,PA11094,DELL,01-01-91,576543210,710630503
Mme,Amaya,Gomez,EcoTechSolutions,Bordeaux,Communication,,Responsable Médias,Wassim,Ibrahimovic,PA68397,DELL,04-26-82,582138883,767925899
M.,Rayane,Hamrouni,EcoTechSolutions,Bordeaux,Communication,Communication externe,Chargé de communication,Yassine,Ben Salah,PA68405,DELL,04-15-01,543237396,657675917
M.,Sakura,Hernandez,EcoTechSolutions,Bordeaux,Communication,Gestion des réseaux sociaux,Social media manager,Amaya,Gomez,PA68399,DELL,08-04-91,525993955,747444472
M.,Wassim,Ibrahimovic,EcoTechSolutions,Bordeaux,Communication,,Directeur Communication et Relations publiques,Emir,Rizzo,PA68385,DELL,11-14-94,567890123,628752957
Mme,Greta,Kobayashi,EcoTechSolutions,Bordeaux,Communication,Événementiel,Chef de projet événement,Amaya,Gomez,PA68389,DELL,05-28-00,551444034,604125070
M.,Nassim,Kowalski,EcoTechSolutions,Bordeaux,Communication,Gestion des réseaux sociaux,Social media manager,Amaya,Gomez,PA68398,DELL,03-28-03,520767555,732866706
Mme,Farah,Kowalski,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Amaya,Gomez,PA99009,DELL,11-16-94,587654321,643567057
M.,Felix,Nguyen,EcoTechSolutions,Bordeaux,Communication,Communication interne,Chargé en droit de la communication,Yassine,Ben Salah,PA88356,DELL,11-03-82,512345678,747070420
Mme,Luna,Oliveira,EcoTechSolutions,Bordeaux,Communication,Communication externe,Chargé de communication,Yassine,Ben Salah,PA68408,DELL,02-11-00,552336590,717351849
Mme,Elina,Rahimi,EcoTechSolutions,Bordeaux,Communication,Gestion des réseaux sociaux,Community manager,Amaya,Gomez,PA68395,DELL,10-17-05,511035281,706560943
Mme,Naomi,Rahmani,EcoTechSolutions,Bordeaux,Communication,Communication externe,Attaché de presse,Yassine,Ben Salah,PA68400,DELL,07-01-04,578804336,615129028
Mme,Lucia,Romano,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Amaya,Gomez,PA68387,DELL,07-01-01,592945254,754927345
M.,Oscar,Rossi,EcoTechSolutions,Bordeaux,Communication,Communication interne,Chargé de communication,Yassine,Ben Salah,PA10218,DELL,06-17-93,510987654,707561174
M.,Ismail,Saidi,EcoTechSolutions,Bordeaux,Communication,Communication externe,Attaché de presse,Yassine,Ben Salah,PA68401,DELL,02-04-96,508700601,670226412
M.,Tenzin,Schneider,EcoTechSolutions,Bordeaux,Communication,Événementiel,Chef de projet événement,Amaya,Gomez,PA68390,DELL,01-18-95,550060713,665924358
M.,Omar,Schneider,EcoTechSolutions,Bordeaux,Communication,Gestion des réseaux sociaux,Community manager,Amaya,Gomez,PA68396,DELL,08-14-02,569019882,650302708
M.,Rayan,Sousa,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Chargée relation presse,Amaya,Gomez,PA76764,DELL,08-10-88,534567890,732836175
M.,Paolo,Weber,EcoTechSolutions,Bordeaux,Communication,Relation Médias,Rédacteur,Amaya,Gomez,PA92969,DELL,11-17-92,532109876,655605121
Mme,Mei,Zhou,EcoTechSolutions,Bordeaux,Communication,Événementiel,Chef de projet événement,Amaya,Gomez,PA68391,DELL,08-27-81,527668664,657945686
M.,Dina,Abdeslam,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69117,TOSHIBA,03-19-85,582076804,754379992
Mme,Sakura,Abe,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69048,HP,07-29-81,580539339,690350755
Mme,Ali,Ali,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69085,TOSHIBA,08-03-85,554456171,609964479
M.,Alicia,Amrane,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69113,HP,02-14-02,580601146,763449946
Mme,Soraya,Amrani,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69069,LENOVO,12-21-95,571283181,629056832
M.,Bilal,Amrani,EcoTechSolutions,Bordeaux,Développement,Développement mobile,Développeur,Hugo,Dimitrov,PA69123,HP,07-28-80,568072545,731463548
M.,Khaled,Andersson,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69092,TOSHIBA,07-25-95,587301516,685540382
Mme,Layla,Bakir,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90615,LENOVO,07-26-84,506817361,613117291
M.,Khaled,Bakir,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69051,TOSHIBA,10-26-91,521722982,742457942
M.,Yasmine,Belmokhtar,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69109,HP,05-23-83,538262259,627492218
M.,Raouf,Ben Amar,EcoTechSolutions,Bordeaux,Développement,Analyse et conception,Développeur,Hugo,Dimitrov,PA90618,TOSHIBA,04-13-83,580255055,736820615
M.,Tahar,Ben Saïd,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69074,LENOVO,01-10-89,508461288,757567403
M.,Celia,Benguigui,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69119,TOSHIBA,01-23-83,514744893,633513427
M.,Mateo,Benitez,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69102,LENOVO,06-23-90,507023351,747678849
M.,Tobias,Berisha,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69063,LENOVO,03-23-86,557140797,647122370
Mme,Yara,Bianchi,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69105,TOSHIBA,04-02-84,534719974,650967336
Mme,Mira,Boukhris,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69101,TOSHIBA,01-14-81,572287760,784984812
M.,Lina,Bouziane,EcoTechSolutions,Bordeaux,Développement,Développement fronted,Développeur,Hugo,Dimitrov,PA69111,HP,04-07-91,549958039,619738848
M.,Arvid,Carvalho,EcoTechSolutions,Bordeaux,Développement,Développement backend,Développeur,Hugo,Dimitrov,PA69053,TOSHIBA,11-19-92,558547096,722934589
